iter	MultiClass
0	1.074601664
1	1.049803808
2	1.0313151
3	1.018531302
4	1.004513081
5	0.9936372358
6	0.9834220939
7	0.9753020998
8	0.9680919328
9	0.9626090414
10	0.9587638267
11	0.9560054872
12	0.9539934184
13	0.9521345464
14	0.9488196347
15	0.9470753503
16	0.945637484
17	0.943415682
18	0.9423146181
19	0.9399690263
20	0.9382534006
21	0.9374213284
22	0.9365356176
23	0.9357433556
24	0.9340613781
25	0.933428277
26	0.9324743044
27	0.9310088043
28	0.9306856201
29	0.930237099
30	0.9292175055
31	0.9278788051
32	0.9273866138
33	0.9267708224
34	0.9257917822
35	0.9251628866
36	0.924661382
37	0.9242927562
38	0.923667425
39	0.9232711521
40	0.9230150945
41	0.9224932486
42	0.9220925616
43	0.9215259581
44	0.9208661268
45	0.9204751354
46	0.920077321
47	0.9196460474
48	0.9187915734
49	0.9183672247
50	0.9178922508
51	0.9176555578
52	0.9173398385
53	0.9169875527
54	0.9166046709
55	0.9163192556
56	0.9158936002
57	0.9155767309
58	0.9151025918
59	0.9147260167
60	0.9142872314
61	0.9137130038
62	0.9134254718
63	0.9130705179
64	0.9126119574
65	0.9121979453
66	0.9118587642
67	0.9116529158
68	0.9111411081
69	0.9108169945
70	0.9105278892
71	0.909999011
72	0.9094664324
73	0.9091105699
74	0.9085931015
75	0.9082090417
76	0.9077850669
77	0.9073995181
78	0.9072311388
79	0.9068759252
80	0.906497196
81	0.9061577519
82	0.9057450099
83	0.905296103
84	0.9049783671
85	0.9046532242
86	0.9043685601
87	0.9039262059
88	0.9036400688
89	0.9033148718
90	0.902894506
91	0.9025558497
92	0.9021761967
93	0.9019565876
94	0.9017040822
95	0.9014498257
96	0.9009972503
97	0.9006868164
98	0.9003078463
99	0.9000065328
100	0.8997044904
101	0.8994473308
102	0.8990322089
103	0.8986833593
104	0.8983575845
105	0.898146404
106	0.897691196
107	0.8974226094
108	0.8971283678
109	0.8968336785
110	0.8966105023
111	0.8963330103
112	0.8959927254
113	0.8956190054
114	0.8952647561
115	0.8950657324
116	0.8946644785
117	0.8944656935
118	0.8941613958
119	0.8939007404
120	0.8935106405
121	0.893116004
122	0.8928555956
123	0.8925494173
124	0.8920835069
125	0.891757618
126	0.8914251533
127	0.8911990861
128	0.8907817275
129	0.890333368
130	0.890042326
131	0.8896439341
132	0.8893965715
133	0.8890496656
134	0.8886593662
135	0.8884060796
136	0.8880553171
137	0.8877446144
138	0.8873976227
139	0.8871452776
140	0.8866729071
141	0.8864044224
142	0.8859124328
143	0.8856990721
144	0.8854021943
145	0.8850669431
146	0.8848350546
147	0.8844289393
148	0.8839751787
149	0.8836659053
150	0.8834753828
151	0.883133385
152	0.8827919676
153	0.8823771813
154	0.8820777643
155	0.8817811174
156	0.8814444666
157	0.8810772829
158	0.880755093
159	0.8803554475
160	0.8799933425
161	0.8796990021
162	0.8793985293
163	0.8789004856
164	0.8785012963
165	0.8782128125
166	0.8779255083
167	0.8775990265
168	0.8773071573
169	0.8770486249
170	0.8767230875
171	0.8764114081
172	0.87606395
173	0.8756873956
174	0.8754512701
175	0.8750210337
176	0.8747017056
177	0.8742547936
178	0.8741199538
179	0.8737622543
180	0.8733793218
181	0.8729135202
182	0.8725761154
183	0.8723063336
184	0.871967416
185	0.8715058262
186	0.8712712965
187	0.8709683842
188	0.8706124895
189	0.8702697158
190	0.8698310456
191	0.8696578222
192	0.8692409721
193	0.8689219409
194	0.8685413804
195	0.8682921151
196	0.8680160919
197	0.8676362784
198	0.8674807935
199	0.8670864093
200	0.8668055625
201	0.8665250861
202	0.8662398463
203	0.8659626396
204	0.8655316902
205	0.8653120432
206	0.8650543934
207	0.8646934836
208	0.864409526
209	0.8642025107
210	0.8640017126
211	0.8636741397
212	0.8632526222
213	0.8629270989
214	0.8624049105
215	0.8620410389
216	0.8618446876
217	0.8616497981
218	0.8613842227
219	0.8610560971
220	0.8606737247
221	0.8603226874
222	0.8599877002
223	0.8596727807
224	0.859447314
225	0.8592144206
226	0.8589367652
227	0.8587470644
228	0.8583807297
229	0.8581150134
230	0.8578643384
231	0.8576600724
232	0.8573789132
