iter	Passed	Remaining
0	38	15293
1	68	13643
2	96	12820
3	126	12477
4	161	12766
5	187	12342
6	228	12822
7	279	13705
8	328	14284
9	382	14903
10	451	15984
11	521	16862
12	560	16683
13	597	16463
14	626	16091
15	666	15986
16	696	15686
17	724	15367
18	754	15125
19	781	14845
20	809	14603
21	837	14395
22	871	14284
23	912	14296
24	940	14103
25	970	13961
26	998	13789
27	1029	13672
28	1070	13693
29	1099	13557
30	1127	13424
31	1155	13289
32	1182	13155
33	1210	13026
34	1237	12902
35	1265	12797
36	1295	12707
37	1333	12699
38	1363	12618
39	1393	12543
40	1423	12463
41	1455	12403
42	1483	12315
43	1514	12254
44	1566	12357
45	1615	12436
46	1668	12530
47	1731	12697
48	1786	12797
49	1861	13030
50	1896	12976
51	1917	12835
52	1952	12781
53	1981	12694
54	2010	12611
55	2039	12529
56	2069	12451
57	2098	12374
58	2125	12285
59	2152	12195
60	2180	12117
61	2226	12135
62	2253	12055
63	2282	11985
64	2313	11921
65	2344	11866
66	2373	11798
67	2402	11729
68	2432	11667
69	2463	11612
70	2494	11560
71	2524	11499
72	2554	11440
73	2583	11381
74	2611	11314
75	2645	11279
76	2674	11219
77	2715	11208
78	2744	11153
79	2772	11091
80	2804	11044
81	2832	10983
82	2887	11026
83	2936	11047
84	2995	11100
85	3051	11141
86	3112	11197
87	3171	11243
88	3203	11194
89	3231	11130
90	3266	11090
91	3295	11034
92	3325	10976
93	3352	10913
94	3380	10852
95	3409	10796
96	3439	10744
97	3467	10686
98	3499	10639
99	3540	10621
100	3568	10563
101	3608	10543
102	3639	10494
103	3666	10435
104	3695	10381
105	3723	10326
106	3753	10278
107	3781	10224
108	3810	10173
109	3838	10118
110	3865	10063
111	3894	10014
112	3922	9962
113	3961	9939
114	3990	9888
115	4017	9837
116	4050	9797
117	4081	9755
118	4110	9705
119	4138	9657
120	4169	9613
121	4219	9614
122	4277	9634
123	4327	9632
124	4395	9669
125	4446	9669
126	4494	9661
127	4525	9616
128	4556	9572
129	4587	9527
130	4614	9475
131	4640	9422
132	4668	9371
133	4695	9320
134	4725	9276
135	4753	9226
136	4779	9176
137	4808	9129
138	4846	9100
139	4873	9050
140	4907	9015
141	4935	8967
142	4965	8923
143	4994	8879
144	5021	8830
145	5048	8782
146	5079	8741
147	5108	8698
148	5137	8655
149	5166	8610
150	5192	8563
151	5220	8518
152	5256	8486
153	5284	8441
154	5313	8398
155	5343	8357
156	5385	8335
157	5412	8290
158	5439	8244
159	5466	8200
160	5503	8169
161	5552	8156
162	5604	8149
163	5705	8209
164	5776	8226
165	5821	8206
166	5849	8161
167	5875	8113
168	5905	8072
169	5931	8025
170	5961	7983
171	5991	7942
172	6020	7899
173	6049	7857
174	6080	7817
175	6109	7775
176	6138	7733
177	6179	7706
178	6204	7660
179	6232	7617
180	6261	7576
181	6289	7534
182	6319	7493
183	6347	7451
184	6377	7412
185	6407	7371
186	6434	7328
187	6461	7286
188	6489	7244
189	6516	7202
190	6546	7163
191	6580	7128
192	6608	7088
193	6650	7062
194	6680	7023
195	6711	6985
196	6739	6944
197	6767	6904
198	6795	6863
199	6842	6842
200	6893	6825
201	6947	6809
202	7006	6799
203	7063	6786
204	7115	6768
205	7143	6727
206	7174	6689
207	7204	6650
208	7232	6609
209	7261	6570
210	7289	6529
211	7312	6485
212	7337	6441
213	7360	6397
214	7383	6352
215	7405	6308
216	7428	6264
217	7450	6220
218	7480	6182
219	7505	6140
220	7536	6104
221	7572	6071
222	7595	6029
223	7619	5986
224	7642	5944
225	7666	5902
226	7691	5862
227	7716	5820
228	7739	5779
229	7763	5738
230	7787	5697
231	7812	5657
232	7836	5616
233	7859	5575
234	7882	5534
235	7905	5493
236	7935	5457
237	7961	5419
238	7985	5379
239	8013	5342
240	8225	5426
241	8301	5419
242	8415	5436
243	8473	5417
244	8527	5394
245	8619	5395
246	8648	5357
247	8677	5318
248	8705	5279
249	8733	5240
250	8764	5202
251	8791	5163
252	8820	5124
253	8849	5086
254	8876	5047
255	8904	5008
256	8941	4975
257	8973	4938
258	9003	4901
259	9029	4862
260	9058	4824
261	9098	4792
262	9134	4758
263	9162	4720
264	9191	4682
265	9218	4643
266	9247	4606
267	9279	4570
268	9309	4533
269	9344	4499
270	9372	4461
271	9399	4423
272	9429	4386
273	9455	4348
274	9490	4314
275	9530	4281
276	9575	4251
277	9609	4217
278	9659	4189
279	9712	4162
280	9774	4139
281	9828	4112
282	9883	4085
283	9932	4056
284	9962	4020
285	9991	3982
286	10019	3945
287	10048	3907
288	10076	3870
289	10103	3832
290	10131	3794
291	10158	3757
292	10186	3719
293	10220	3684
294	10247	3647
295	10274	3609
296	10307	3574
297	10355	3544
298	10383	3507
299	10411	3470
300	10441	3434
301	10468	3397
302	10498	3361
303	10526	3324
304	10553	3287
305	10596	3255
306	10625	3218
307	10653	3182
308	10681	3145
309	10710	3109
310	10744	3074
311	10771	3038
312	10798	3001
313	10825	2964
314	10855	2929
315	10885	2893
316	10915	2858
317	10971	2829
318	11034	2801
319	11087	2771
320	11135	2740
321	11191	2710
322	11236	2678
323	11264	2642
324	11294	2606
325	11323	2570
326	11351	2534
327	11381	2498
328	11410	2462
329	11437	2426
330	11464	2389
331	11502	2355
332	11532	2320
333	11562	2284
334	11588	2248
335	11618	2213
336	11647	2177
337	11675	2141
338	11704	2106
339	11732	2070
340	11758	2034
341	11786	1998
342	11814	1963
343	11842	1927
344	11872	1892
345	11911	1858
346	11941	1823
347	11979	1790
348	12011	1755
349	12038	1719
350	12065	1684
351	12106	1650
352	12133	1615
353	12161	1580
354	12187	1544
355	12229	1511
356	12280	1479
357	12329	1446
358	12391	1415
359	12444	1382
360	12498	1350
361	12530	1315
362	12562	1280
363	12590	1245
364	12618	1209
365	12644	1174
366	12671	1139
367	12699	1104
368	12728	1069
369	12756	1034
370	12783	999
371	12814	964
372	12852	930
373	12882	895
374	12920	861
375	12952	826
376	12982	792
377	13013	757
378	13042	722
379	13072	688
380	13101	653
381	13130	618
382	13158	584
383	13185	549
384	13213	514
385	13239	480
386	13275	445
387	13303	411
388	13344	377
389	13371	342
390	13399	308
391	13446	274
392	13490	240
393	13537	206
394	13590	172
395	13637	137
396	13689	103
397	13749	69
398	13800	34
399	13836	0
