index,City,Date,Card Type,Exp Type,Gender,Amount,Amount_log
0,"Delhi, India",29-Oct-14,Gold,Bills,F,82475.0,11.320262620909606
1,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,32555.0,10.390716962446932
2,"Bengaluru, India",27-Aug-14,Silver,Bills,F,101738.0,11.53016598935263
3,"Greater Mumbai, India",12-Apr-14,Signature,Bills,F,123424.0,11.723388963127064
4,"Bengaluru, India",5-May-15,Gold,Bills,F,171574.0,12.052775767776835
5,"Delhi, India",8-Sep-14,Silver,Bills,F,100036.0,11.513295396537108
6,"Delhi, India",24-Feb-15,Gold,Bills,F,143250.0,11.872353615355413
7,"Greater Mumbai, India",26-Jun-14,Platinum,Bills,F,150980.0,11.924909280065508
8,"Delhi, India",28-Mar-14,Silver,Bills,F,192247.0,12.166541484192841
9,"Delhi, India",1-Sep-14,Platinum,Bills,F,67932.0,11.126277204319269
10,"Delhi, India",22-Jun-14,Platinum,Bills,F,280061.0,12.542766286211128
11,"Greater Mumbai, India",7-Dec-13,Signature,Bills,F,278036.0,12.535509477341796
12,"Greater Mumbai, India",7-Aug-14,Gold,Bills,F,19226.0,9.864070820172337
13,"Delhi, India",27-Apr-14,Signature,Bills,F,254359.0,12.446505865381344
14,"Greater Mumbai, India",15-Aug-14,Signature,Bills,F,302834.0,12.620943381712435
15,"Greater Mumbai, India",28-Nov-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
16,"Greater Mumbai, India",14-Jun-14,Signature,Bills,F,385574.9399999859,12.862493443506203
17,"Greater Mumbai, India",30-Mar-15,Gold,Bills,F,385574.9399999859,12.862493443506203
18,"Greater Mumbai, India",15-Mar-14,Platinum,Bills,F,213047.0,12.269272771416265
19,"Greater Mumbai, India",9-Nov-13,Platinum,Bills,F,385574.9399999859,12.862493443506203
20,"Delhi, India",4-Apr-14,Signature,Bills,F,366102.0,12.810669993557134
21,"Delhi, India",1-Jul-14,Signature,Bills,F,385574.9399999859,12.862493443506203
22,"Greater Mumbai, India",27-Mar-15,Silver,Bills,F,385574.9399999859,12.862493443506203
23,"Ahmedabad, India",11-Oct-13,Gold,Bills,F,385574.9399999859,12.862493443506203
24,"Ahmedabad, India",26-Mar-14,Gold,Bills,F,339112.0,12.734088664152708
25,"Delhi, India",27-Sep-14,Silver,Bills,F,385574.9399999859,12.862493443506203
26,"Bengaluru, India",23-Mar-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
27,"Greater Mumbai, India",17-May-14,Signature,Bills,F,385574.9399999859,12.862493443506203
28,"Bengaluru, India",18-Jan-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
29,"Delhi, India",18-Apr-15,Gold,Bills,F,385574.9399999859,12.862493443506203
30,"Bengaluru, India",31-Jul-14,Signature,Bills,F,225392.0,12.325600824204948
31,"Greater Mumbai, India",11-Feb-15,Gold,Bills,F,296573.0,12.600052044695245
32,"Ahmedabad, India",24-Nov-13,Platinum,Bills,F,227702.0,12.335797427195605
33,"Ahmedabad, India",8-Nov-14,Gold,Bills,F,385574.9399999859,12.862493443506203
34,"Ahmedabad, India",6-Sep-14,Signature,Bills,F,385574.9399999859,12.862493443506203
35,"Ahmedabad, India",24-Mar-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
36,"Ahmedabad, India",1-Jan-14,Signature,Bills,F,255577.0,12.451282925793631
37,"Ahmedabad, India",12-Jul-14,Silver,Bills,F,337352.0,12.728885138857294
38,"Ahmedabad, India",4-Feb-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
39,"Delhi, India",3-Feb-15,Silver,Bills,F,385574.9399999859,12.862493443506203
40,"Delhi, India",27-Oct-13,Platinum,Bills,F,385574.9399999859,12.862493443506203
41,"Delhi, India",11-May-14,Gold,Bills,F,385574.9399999859,12.862493443506203
42,"Bengaluru, India",10-Nov-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
43,"Delhi, India",30-Jan-15,Silver,Bills,F,385574.9399999859,12.862493443506203
44,"Bengaluru, India",19-Apr-14,Platinum,Bills,F,262414.0,12.477682499052381
45,"Bengaluru, India",8-Sep-14,Gold,Bills,F,249353.0,12.426628852554044
46,"Ahmedabad, India",10-Dec-13,Gold,Bills,F,385574.9399999859,12.862493443506203
47,"Ahmedabad, India",4-Nov-13,Platinum,Bills,F,313626.0,12.655959660691037
48,"Greater Mumbai, India",1-Jun-14,Gold,Bills,F,314366.0,12.658316372196248
49,"Greater Mumbai, India",27-Apr-14,Signature,Bills,F,385574.9399999859,12.862493443506203
50,"Delhi, India",4-Oct-13,Signature,Bills,F,385574.9399999859,12.862493443506203
51,"Greater Mumbai, India",31-Dec-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
52,"Ahmedabad, India",21-Dec-13,Signature,Bills,F,385574.9399999859,12.862493443506203
53,"Delhi, India",7-Dec-13,Signature,Bills,F,385574.9399999859,12.862493443506203
54,"Greater Mumbai, India",7-Feb-14,Signature,Bills,F,385574.9399999859,12.862493443506203
55,"Bengaluru, India",13-May-15,Silver,Bills,F,371572.0,12.82550062450917
56,"Ahmedabad, India",28-Jan-15,Signature,Bills,F,326283.0,12.695523446748467
57,"Delhi, India",9-Dec-14,Platinum,Bills,F,279051.0,12.539153423365237
58,"Delhi, India",8-Oct-13,Platinum,Bills,F,385574.9399999859,12.862493443506203
59,"Ahmedabad, India",24-Apr-14,Silver,Bills,F,385574.9399999859,12.862493443506203
60,"Delhi, India",13-Jan-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
61,"Bengaluru, India",14-Mar-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
62,"Delhi, India",27-Feb-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
63,"Greater Mumbai, India",29-Oct-13,Signature,Bills,F,385574.9399999859,12.862493443506203
64,"Greater Mumbai, India",22-Jun-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
65,"Delhi, India",23-Jan-14,Platinum,Bills,F,340133.0,12.737094936595444
66,"Bengaluru, India",10-Nov-13,Gold,Bills,F,265417.0,12.489061220735664
67,"Greater Mumbai, India",13-Dec-13,Platinum,Bills,F,358185.0,12.788807683534495
68,"Greater Mumbai, India",22-Mar-14,Gold,Bills,F,385574.9399999859,12.862493443506203
69,"Greater Mumbai, India",13-Jan-15,Gold,Bills,F,385574.9399999859,12.862493443506203
70,"Greater Mumbai, India",8-May-14,Gold,Bills,F,385574.9399999859,12.862493443506203
71,"Delhi, India",18-Feb-14,Silver,Bills,F,385574.9399999859,12.862493443506203
72,"Delhi, India",4-Oct-13,Signature,Bills,F,385574.9399999859,12.862493443506203
73,"Greater Mumbai, India",14-Jun-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
74,"Ahmedabad, India",24-Aug-14,Silver,Bills,F,385574.9399999859,12.862493443506203
75,"Greater Mumbai, India",2-Apr-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
76,"Greater Mumbai, India",27-Jun-14,Gold,Bills,F,385574.9399999859,12.862493443506203
77,"Greater Mumbai, India",6-Feb-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
78,"Bengaluru, India",29-Mar-14,Silver,Bills,F,385574.9399999859,12.862493443506203
79,"Ahmedabad, India",22-Apr-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
80,"Greater Mumbai, India",14-Oct-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
81,"Ahmedabad, India",2-Feb-14,Silver,Bills,F,385574.9399999859,12.862493443506203
82,"Bengaluru, India",1-Apr-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
83,"Ahmedabad, India",13-Jan-15,Signature,Bills,F,282910.0,12.55288763953126
84,"Bengaluru, India",27-Mar-14,Gold,Bills,F,385574.9399999859,12.862493443506203
85,"Ahmedabad, India",17-Feb-15,Silver,Bills,F,385574.9399999859,12.862493443506203
86,"Bengaluru, India",10-Feb-15,Gold,Bills,F,385574.9399999859,12.862493443506203
87,"Greater Mumbai, India",26-Feb-14,Silver,Bills,F,385574.9399999859,12.862493443506203
88,"Greater Mumbai, India",7-May-15,Gold,Bills,F,385574.9399999859,12.862493443506203
89,"Bengaluru, India",5-Jan-14,Gold,Bills,F,327947.0,12.700610338212662
90,"Bengaluru, India",7-Apr-14,Gold,Bills,F,385574.9399999859,12.862493443506203
91,"Delhi, India",20-Feb-15,Signature,Bills,F,369237.0,12.819196701558164
92,"Bengaluru, India",19-Jan-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
93,"Ahmedabad, India",14-Nov-14,Gold,Bills,F,385574.9399999859,12.862493443506203
94,"Greater Mumbai, India",21-Jul-14,Gold,Bills,F,385574.9399999859,12.862493443506203
95,"Bengaluru, India",3-Feb-15,Gold,Bills,F,385574.9399999859,12.862493443506203
96,"Bengaluru, India",1-Nov-13,Gold,Bills,F,385574.9399999859,12.862493443506203
97,"Delhi, India",7-Dec-13,Signature,Bills,F,385574.9399999859,12.862493443506203
98,"Greater Mumbai, India",5-Aug-14,Silver,Bills,F,246865.0,12.416600958276796
99,"Greater Mumbai, India",8-Jan-15,Signature,Bills,F,385574.9399999859,12.862493443506203
100,"Delhi, India",11-Apr-15,Platinum,Bills,F,385574.9399999859,12.862493443506203
101,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,385574.9399999859,12.862493443506203
102,"Bengaluru, India",24-Mar-15,Silver,Bills,F,385574.9399999859,12.862493443506203
103,"Bengaluru, India",13-Oct-13,Signature,Bills,F,385574.9399999859,12.862493443506203
104,"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,385574.9399999859,12.862493443506203
105,"Ahmedabad, India",9-Nov-14,Platinum,Bills,F,385574.9399999859,12.862493443506203
106,"Bengaluru, India",4-Feb-15,Signature,Bills,F,385574.9399999859,12.862493443506203
107,"Bengaluru, India",6-Mar-14,Signature,Bills,F,385574.9399999859,12.862493443506203
108,"Greater Mumbai, India",27-Mar-14,Gold,Bills,F,385574.9399999859,12.862493443506203
109,"Greater Mumbai, India",13-Nov-13,Signature,Bills,F,385574.9399999859,12.862493443506203
110,"Greater Mumbai, India",22-Oct-13,Signature,Bills,F,385574.9399999859,12.862493443506203
111,"Greater Mumbai, India",27-Sep-14,Gold,Bills,F,385574.9399999859,12.862493443506203
112,"Ahmedabad, India",14-Nov-14,Silver,Bills,F,385574.9399999859,12.862493443506203
113,"Bengaluru, India",21-Oct-13,Platinum,Bills,F,382191.0,12.85367837911974
114,"Bengaluru, India",15-May-15,Silver,Bills,F,385574.9399999859,12.862493443506203
