index,Date,Amount,Amount_log,Day,Month,Year,Weekday,Is_Weekend,Quarter,Days_Since_First,City_Freq,Card Type_Freq,Exp Type_Freq
15464,2013-10-04,83905.0,11.337452403605107,4,10,2013,4,0,4,0,6,6840,5078
9427,2013-10-04,29929.0,10.306616600846745,4,10,2013,4,0,4,0,3552,6367,5257
9418,2013-10-04,89155.0,11.398142923326084,4,10,2013,4,0,4,0,3491,6840,4762
9244,2013-10-04,203722.0,12.224516506984752,4,10,2013,4,0,4,0,3482,6840,5257
1521,2013-10-04,281924.0,12.549396357100488,4,10,2013,4,0,4,0,3482,6367,5463
1612,2013-10-04,125616.0,11.740992874175678,4,10,2013,4,0,4,0,3482,6367,4754
15118,2013-10-04,139361.0,11.844830143303671,4,10,2013,4,0,4,0,11,6367,4762
18278,2013-10-04,131374.0,11.785811108179251,4,10,2013,4,0,4,0,8,6367,4762
4104,2013-10-04,296021.0,12.598189054868604,4,10,2013,4,0,4,0,3491,6840,4762
50,2013-10-04,385574.9399999859,12.862493443506205,4,10,2013,4,0,4,0,3482,6447,5078
15765,2013-10-04,282754.0,12.552336077287976,4,10,2013,4,0,4,0,12,6840,5257
8645,2013-10-04,159769.0,11.981490560021616,4,10,2013,4,0,4,0,3552,6840,5078
15975,2013-10-04,64001.0,11.066669611853538,4,10,2013,4,0,4,0,5,6367,4754
16063,2013-10-04,14167.0,9.55874117946267,4,10,2013,4,0,4,0,6,6840,5463
1866,2013-10-04,78098.0,11.265732531648492,4,10,2013,4,0,4,0,3491,6367,4762
6379,2013-10-04,116904.0,11.66911691814514,4,10,2013,4,0,4,0,3491,6840,5463
8532,2013-10-04,35163.0,10.46777811097107,4,10,2013,4,0,4,0,3493,6840,5257
25301,2013-10-04,216512.0,12.285405870811358,4,10,2013,4,0,4,0,749,6447,4762
8365,2013-10-04,208425.0,12.247339341156232,4,10,2013,4,0,4,0,3482,6367,4762
16503,2013-10-04,92194.0,11.431661178139263,4,10,2013,4,0,4,0,11,6447,4754
72,2013-10-04,385574.9399999859,12.862493443506205,4,10,2013,4,0,4,0,3482,6447,5078
7564,2013-10-04,205179.0,12.231642921641704,4,10,2013,4,0,4,0,3552,6840,5463
25573,2013-10-04,11626.0,9.361085258668608,4,10,2013,4,0,4,0,747,6840,738
17398,2013-10-04,188578.0,12.14727229621634,4,10,2013,4,0,4,0,12,6367,4754
6931,2013-10-04,236037.0,12.371748087995062,4,10,2013,4,0,4,0,3552,6367,5257
20282,2013-10-04,18034.0,9.80006959333764,4,10,2013,4,0,4,0,773,6840,4762
17554,2013-10-04,298389.0,12.606156634685858,4,10,2013,4,0,4,0,7,6398,4754
17663,2013-10-04,33784.0,10.427772195986275,4,10,2013,4,0,4,0,6,6367,5257
141,2013-10-04,385574.9399999859,12.862493443506205,4,10,2013,4,0,4,0,3493,6367,5078
20062,2013-10-04,24897.0,10.122542757941732,4,10,2013,4,0,4,0,784,6447,5078
7749,2013-10-04,295639.0,12.596897776898825,4,10,2013,4,0,4,0,3493,6398,4762
16390,2013-10-04,215148.0,12.279086090335888,4,10,2013,4,0,4,0,4,6367,5257
2676,2013-10-04,298983.0,12.608145339235335,4,10,2013,4,0,4,0,3482,6447,5257
1693,2013-10-04,22708.0,10.030516600664669,4,10,2013,4,0,4,0,3493,6398,4754
23691,2013-10-04,27511.0,10.222377552112102,4,10,2013,4,0,4,0,774,6367,4754
7201,2013-10-04,201942.0,12.215740758345756,4,10,2013,4,0,4,0,3493,6367,4762
24005,2013-10-04,76211.0,11.241274209590976,4,10,2013,4,0,4,0,774,6367,5257
5798,2013-10-04,52423.0,10.867119780719332,4,10,2013,4,0,4,0,3493,6398,4754
809,2013-10-04,116700.0,11.667370387218226,4,10,2013,4,0,4,0,3493,6840,4762
11175,2013-10-04,290266.0,12.578556468043075,4,10,2013,4,0,4,0,3493,6447,5463
831,2013-10-04,240666.0,12.391169514247446,4,10,2013,4,0,4,0,3491,6840,4762
23786,2013-10-04,29774.0,10.3014243942235,4,10,2013,4,0,4,0,764,6447,5078
11398,2013-10-04,218607.0,12.295035450578268,4,10,2013,4,0,4,0,3493,6447,5257
23647,2013-10-04,80058.0,11.29051914183653,4,10,2013,4,0,4,0,784,6367,5463
11603,2013-10-04,18586.0,9.830217690608354,4,10,2013,4,0,4,0,3552,6398,5078
10361,2013-10-04,210174.0,12.255695796003495,4,10,2013,4,0,4,0,3482,6840,5463
23493,2013-10-04,289594.0,12.576238674151282,4,10,2013,4,0,4,0,752,6447,4762
10241,2013-10-04,52179.0,10.86245455869072,4,10,2013,4,0,4,0,3482,6840,5257
622,2013-10-04,122944.0,11.719492379879636,4,10,2013,4,0,4,0,3482,6840,5463
18313,2013-10-04,91707.0,11.426364895442552,4,10,2013,4,0,4,0,7,6840,5463
12233,2013-10-04,237165.0,12.37651559687723,4,10,2013,4,0,4,0,3482,6398,4762
19086,2013-10-04,259372.0,12.466022459093995,4,10,2013,4,0,4,0,7,6367,4762
12513,2013-10-04,182817.0,12.11624640142584,4,10,2013,4,0,4,0,3552,6840,5463
4970,2013-10-04,17168.0,9.750860711077213,4,10,2013,4,0,4,0,3491,6840,4762
24540,2013-10-04,102337.0,11.53603633946732,4,10,2013,4,0,4,0,774,6447,4762
22828,2013-10-04,46039.0,10.73726586283582,4,10,2013,4,0,4,0,773,6367,5257
21569,2013-10-05,131148.0,11.784089360408917,5,10,2013,5,1,4,1,759,6367,4762
20624,2013-10-05,38978.0,10.570778318550849,5,10,2013,5,1,4,1,747,6840,5463
3456,2013-10-05,20999.0,9.95227771670556,5,10,2013,5,1,4,1,3491,6447,4754
17290,2013-10-05,253631.0,12.443639676550108,5,10,2013,5,1,4,1,8,6367,5463
8029,2013-10-05,123820.0,11.726592253280312,5,10,2013,5,1,4,1,3552,6840,5257
11158,2013-10-05,44134.0,10.695008397454334,5,10,2013,5,1,4,1,3491,6398,5463
190,2013-10-05,385574.9399999859,12.862493443506205,5,10,2013,5,1,4,1,3491,6398,5078
23974,2013-10-05,92598.0,11.43603362143989,5,10,2013,5,1,4,1,752,6447,5078
5920,2013-10-05,261523.0,12.47428133647843,5,10,2013,5,1,4,1,3491,6447,4762
9786,2013-10-05,22774.0,10.03341872212816,5,10,2013,5,1,4,1,3482,6840,5463
17821,2013-10-05,235393.0,12.369015984953316,5,10,2013,5,1,4,1,6,6398,4762
7804,2013-10-05,164024.0,12.007774134213076,5,10,2013,5,1,4,1,3552,6840,5463
24753,2013-10-05,54159.0,10.899697907586155,5,10,2013,5,1,4,1,752,6840,5463
24031,2013-10-05,8478.0,9.045347797304004,5,10,2013,5,1,4,1,749,6398,5078
2980,2013-10-05,183626.0,12.120661805179967,5,10,2013,5,1,4,1,3552,6398,5463
11045,2013-10-05,130428.0,11.77858429638715,5,10,2013,5,1,4,1,3493,6447,5257
8250,2013-10-05,286662.0,12.566062588782104,5,10,2013,5,1,4,1,3493,6398,5078
14536,2013-10-05,79974.0,11.28946936481772,5,10,2013,5,1,4,1,4,6367,4754
10211,2013-10-05,158154.0,11.971330843788886,5,10,2013,5,1,4,1,3482,6840,4754
21279,2013-10-05,255850.0,12.45235052276576,5,10,2013,5,1,4,1,774,6447,5257
15871,2013-10-05,167400.0,12.02814741073532,5,10,2013,5,1,4,1,19,6367,4762
5338,2013-10-05,264301.0,12.48484766772228,5,10,2013,5,1,4,1,3552,6367,4762
15968,2013-10-05,104254.0,11.55459510014162,5,10,2013,5,1,4,1,6,6398,4754
23620,2013-10-05,81115.0,11.303635507944554,5,10,2013,5,1,4,1,759,6447,5257
6476,2013-10-05,147199.0,11.899547485276912,5,10,2013,5,1,4,1,3491,6447,5463
9208,2013-10-05,299794.0,12.61085418672637,5,10,2013,5,1,4,1,3491,6840,4762
21034,2013-10-05,217527.0,12.29008285685734,5,10,2013,5,1,4,1,752,6840,5078
20646,2013-10-05,246855.0,12.41656044965048,5,10,2013,5,1,4,1,752,6398,5078
16227,2013-10-05,160358.0,11.98517033076793,5,10,2013,5,1,4,1,5,6447,4754
20904,2013-10-05,32874.0,10.400467769480066,5,10,2013,5,1,4,1,774,6367,5078
9727,2013-10-05,158711.0,11.974846518022607,5,10,2013,5,1,4,1,3491,6447,5463
20868,2013-10-05,236710.0,12.374595266750111,5,10,2013,5,1,4,1,747,6367,5463
23692,2013-10-05,254534.0,12.447193630075036,5,10,2013,5,1,4,1,747,6840,4754
25314,2013-10-05,279582.0,12.541054486348836,5,10,2013,5,1,4,1,774,6840,738
12743,2013-10-05,171087.0,12.049933322996438,5,10,2013,5,1,4,1,3552,6367,4754
20801,2013-10-05,22267.0,10.010905949303398,5,10,2013,5,1,4,1,747,6840,4754
3617,2013-10-05,229366.0,12.343078619798543,5,10,2013,5,1,4,1,3491,6447,4754
20937,2013-10-05,19658.0,9.886290527707606,5,10,2013,5,1,4,1,764,6367,5078
22352,2013-10-05,81542.0,11.30888576745509,5,10,2013,5,1,4,1,749,6840,4762
24094,2013-10-05,121025.0,11.703760677529388,5,10,2013,5,1,4,1,749,6447,4754
