index,Amount,Amount_log,Day,Month,Year,Weekday,Is_Weekend,Quarter,Days_Since_First,City_Freq,Card Type_Freq,Exp Type_Freq,Exp Type
15464,83905.0,11.337452403605107,4,10,2013,4,0,4,0,6,6840,5078,Essential
9427,29929.0,10.306616600846745,4,10,2013,4,0,4,0,3552,6367,5257,Essential
9418,89155.0,11.398142923326084,4,10,2013,4,0,4,0,3491,6840,4762,Essential
9244,203722.0,12.224516506984752,4,10,2013,4,0,4,0,3482,6840,5257,Essential
1521,281924.0,12.549396357100488,4,10,2013,4,0,4,0,3482,6367,5463,Essential
1612,125616.0,11.740992874175678,4,10,2013,4,0,4,0,3482,6367,4754,Essential
15118,139361.0,11.844830143303671,4,10,2013,4,0,4,0,11,6367,4762,Essential
18278,131374.0,11.785811108179251,4,10,2013,4,0,4,0,8,6367,4762,Essential
4104,296021.0,12.598189054868604,4,10,2013,4,0,4,0,3491,6840,4762,Essential
50,385574.9399999859,12.862493443506205,4,10,2013,4,0,4,0,3482,6447,5078,Essential
15765,282754.0,12.552336077287976,4,10,2013,4,0,4,0,12,6840,5257,Essential
8645,159769.0,11.981490560021616,4,10,2013,4,0,4,0,3552,6840,5078,Essential
15975,64001.0,11.066669611853538,4,10,2013,4,0,4,0,5,6367,4754,Essential
16063,14167.0,9.55874117946267,4,10,2013,4,0,4,0,6,6840,5463,Essential
1866,78098.0,11.265732531648492,4,10,2013,4,0,4,0,3491,6367,4762,Essential
6379,116904.0,11.66911691814514,4,10,2013,4,0,4,0,3491,6840,5463,Essential
8532,35163.0,10.46777811097107,4,10,2013,4,0,4,0,3493,6840,5257,Essential
25301,216512.0,12.285405870811358,4,10,2013,4,0,4,0,749,6447,4762,Essential
8365,208425.0,12.247339341156232,4,10,2013,4,0,4,0,3482,6367,4762,Essential
16503,92194.0,11.431661178139263,4,10,2013,4,0,4,0,11,6447,4754,Essential
72,385574.9399999859,12.862493443506205,4,10,2013,4,0,4,0,3482,6447,5078,Essential
7564,205179.0,12.231642921641704,4,10,2013,4,0,4,0,3552,6840,5463,Essential
25573,11626.0,9.361085258668608,4,10,2013,4,0,4,0,747,6840,738,Essential
17398,188578.0,12.14727229621634,4,10,2013,4,0,4,0,12,6367,4754,Essential
6931,236037.0,12.371748087995062,4,10,2013,4,0,4,0,3552,6367,5257,Essential
20282,18034.0,9.80006959333764,4,10,2013,4,0,4,0,773,6840,4762,Essential
17554,298389.0,12.606156634685858,4,10,2013,4,0,4,0,7,6398,4754,Essential
17663,33784.0,10.427772195986275,4,10,2013,4,0,4,0,6,6367,5257,Essential
141,385574.9399999859,12.862493443506205,4,10,2013,4,0,4,0,3493,6367,5078,Essential
20062,24897.0,10.122542757941732,4,10,2013,4,0,4,0,784,6447,5078,Essential
7749,295639.0,12.596897776898825,4,10,2013,4,0,4,0,3493,6398,4762,Essential
16390,215148.0,12.279086090335888,4,10,2013,4,0,4,0,4,6367,5257,Essential
2676,298983.0,12.608145339235335,4,10,2013,4,0,4,0,3482,6447,5257,Essential
1693,22708.0,10.030516600664669,4,10,2013,4,0,4,0,3493,6398,4754,Essential
23691,27511.0,10.222377552112102,4,10,2013,4,0,4,0,774,6367,4754,Essential
7201,201942.0,12.215740758345756,4,10,2013,4,0,4,0,3493,6367,4762,Essential
24005,76211.0,11.241274209590976,4,10,2013,4,0,4,0,774,6367,5257,Essential
5798,52423.0,10.867119780719332,4,10,2013,4,0,4,0,3493,6398,4754,Essential
809,116700.0,11.667370387218226,4,10,2013,4,0,4,0,3493,6840,4762,Essential
11175,290266.0,12.578556468043075,4,10,2013,4,0,4,0,3493,6447,5463,Essential
831,240666.0,12.391169514247446,4,10,2013,4,0,4,0,3491,6840,4762,Essential
23786,29774.0,10.3014243942235,4,10,2013,4,0,4,0,764,6447,5078,Essential
11398,218607.0,12.295035450578268,4,10,2013,4,0,4,0,3493,6447,5257,Essential
23647,80058.0,11.29051914183653,4,10,2013,4,0,4,0,784,6367,5463,Essential
11603,18586.0,9.830217690608354,4,10,2013,4,0,4,0,3552,6398,5078,Essential
10361,210174.0,12.255695796003495,4,10,2013,4,0,4,0,3482,6840,5463,Essential
23493,289594.0,12.576238674151282,4,10,2013,4,0,4,0,752,6447,4762,Essential
10241,52179.0,10.86245455869072,4,10,2013,4,0,4,0,3482,6840,5257,Essential
622,122944.0,11.719492379879636,4,10,2013,4,0,4,0,3482,6840,5463,Essential
18313,91707.0,11.426364895442552,4,10,2013,4,0,4,0,7,6840,5463,Essential
12233,237165.0,12.37651559687723,4,10,2013,4,0,4,0,3482,6398,4762,Essential
19086,259372.0,12.466022459093995,4,10,2013,4,0,4,0,7,6367,4762,Essential
12513,182817.0,12.11624640142584,4,10,2013,4,0,4,0,3552,6840,5463,Essential
4970,17168.0,9.750860711077213,4,10,2013,4,0,4,0,3491,6840,4762,Essential
24540,102337.0,11.53603633946732,4,10,2013,4,0,4,0,774,6447,4762,Essential
22828,46039.0,10.73726586283582,4,10,2013,4,0,4,0,773,6367,5257,Essential
21569,131148.0,11.784089360408917,5,10,2013,5,1,4,1,759,6367,4762,Essential
20624,38978.0,10.570778318550849,5,10,2013,5,1,4,1,747,6840,5463,Essential
3456,20999.0,9.95227771670556,5,10,2013,5,1,4,1,3491,6447,4754,Essential
17290,253631.0,12.443639676550108,5,10,2013,5,1,4,1,8,6367,5463,Essential
8029,123820.0,11.726592253280312,5,10,2013,5,1,4,1,3552,6840,5257,Essential
11158,44134.0,10.695008397454334,5,10,2013,5,1,4,1,3491,6398,5463,Essential
190,385574.9399999859,12.862493443506205,5,10,2013,5,1,4,1,3491,6398,5078,Essential
23974,92598.0,11.43603362143989,5,10,2013,5,1,4,1,752,6447,5078,Essential
5920,261523.0,12.47428133647843,5,10,2013,5,1,4,1,3491,6447,4762,Essential
9786,22774.0,10.03341872212816,5,10,2013,5,1,4,1,3482,6840,5463,Essential
17821,235393.0,12.369015984953316,5,10,2013,5,1,4,1,6,6398,4762,Essential
7804,164024.0,12.007774134213076,5,10,2013,5,1,4,1,3552,6840,5463,Essential
24753,54159.0,10.899697907586155,5,10,2013,5,1,4,1,752,6840,5463,Essential
24031,8478.0,9.045347797304004,5,10,2013,5,1,4,1,749,6398,5078,Essential
2980,183626.0,12.120661805179967,5,10,2013,5,1,4,1,3552,6398,5463,Essential
11045,130428.0,11.77858429638715,5,10,2013,5,1,4,1,3493,6447,5257,Essential
8250,286662.0,12.566062588782104,5,10,2013,5,1,4,1,3493,6398,5078,Essential
14536,79974.0,11.28946936481772,5,10,2013,5,1,4,1,4,6367,4754,Essential
10211,158154.0,11.971330843788886,5,10,2013,5,1,4,1,3482,6840,4754,Essential
21279,255850.0,12.45235052276576,5,10,2013,5,1,4,1,774,6447,5257,Essential
15871,167400.0,12.02814741073532,5,10,2013,5,1,4,1,19,6367,4762,Essential
5338,264301.0,12.48484766772228,5,10,2013,5,1,4,1,3552,6367,4762,Essential
15968,104254.0,11.55459510014162,5,10,2013,5,1,4,1,6,6398,4754,Essential
23620,81115.0,11.303635507944554,5,10,2013,5,1,4,1,759,6447,5257,Essential
6476,147199.0,11.899547485276912,5,10,2013,5,1,4,1,3491,6447,5463,Essential
9208,299794.0,12.61085418672637,5,10,2013,5,1,4,1,3491,6840,4762,Essential
21034,217527.0,12.29008285685734,5,10,2013,5,1,4,1,752,6840,5078,Essential
